v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v211,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v231,v232,v233,v234,v235,v236,v237,v238,v239,v240,v241,v242,v243,v244,v245,v246,v247,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261,v262,v263,v264,v265,v266,v267,v268,v269,v270,v271,v272,v273,v274,v275,v276,v277,v278,v279,v280,v281,v282,v283,v284,v285,v286,v287,v288,v289,v290,v291,v292,v293,v294,v295,v296,v297,v298,v299,v300
0,-0.832800664,-1.418667132,-2.115044365,-2.698494021,-2.958106505,-2.78219082,-2.291949846,-1.749718082,-1.295718681,-0.932489255,-0.689423736,-0.53591038,-0.385396501,-0.242155198,-0.095388998,0.064147779,0.244691166,0.453736289,0.697853717,0.975424481,1.264438281,1.515152099,1.668196827,1.722900189,1.687061653,1.589606824,1.507629133,1.459281273,1.387197927,1.212776745,0.922367999,0.589614473,0.311383086,0.133758984,0.028960149,-0.015581157,-0.023767955,-0.042991662,-0.072152835,-0.106332574,-0.143247628,-0.182635635,-0.227281428,-0.280707104,-0.346448205,-0.415895411,-0.486206332,-0.556551818,-0.625094663,-0.704444988,-0.805711352,-0.936490349,-1.094276834,-1.261003667,-1.408014329,-1.50152397,-1.516321412,-1.436220827,-1.269864976,-1.047535905,-0.798518781,-0.547702753,-0.304797779,-0.068143409,0.169538838,0.414050461,0.659623152,0.89173631,1.091783419,1.240679688,1.327153401,1.347768357,1.306840841,1.21233542,1.073968088,0.896216254,0.690892611,0.528335959,0.458649456,0.518618361,0.737436688,1.032572911,1.248025414,1.251686701,1.031956322,0.69810698,0.388167203,0.17626743,0.048789317,0,0,0,0,0,0,0,-0.055208965,-0.192534048,-0.421691004,-0.759435272,-1.121577652,-1.362167132,-1.361198467,-1.121346345,-0.762678768,-0.433231454,-0.216204509,-0.092692043,-0.052415753,-0.007791564,0.124176995,0.359166997,0.726156065,1.138236998,1.42742729,1.44932838,1.200817471,0.815721215,0.454620467,0.206744273,0.057776825,0,0,0,0.070616111,0.252116785,0.560620904,1.020407993,1.527851329,1.889858028,1.937167749,1.654798558,1.191393797,0.738791659,0.408655195,0.186250993,0.062524465,0.004735366,-0.048916208,-0.096370987,-0.141580173,-0.19146551,-0.253320715,-0.333653355,-0.428683101,-0.522398482,-0.593774895,-0.630369429,-0.672995146,-0.737447352,-0.834455896,-0.985951804,-1.134660382,-1.184107633,-1.064098149,-0.799700592,-0.494394668,-0.249064183,-0.099653801,-0.016430066,0.007703578,0,0,0,0,-0.007703578,-0.027223532,-0.059748533,-0.064006098,-0.005094186,0.144710753,0.416207233,0.743683323,0.990903091,1.038814255,0.875820591,0.602367765,0.338574864,0.154266615,0.043653598,0,0,0,0,0,0.002567859,0.003938792,-0.035466795,-0.135526138,-0.310005156,-0.56462897,-0.832094744,-0.99922798,-0.970767195,-0.753921111,-0.4541807,-0.195932401,-0.039801937,0.0325663,0.040715939,0.020118422,0.006419648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.607094834,-1.071948593,-1.665694443,-2.237617415,-2.616377384,-2.663258446,-2.406966993,-2.018424425,-1.616568155,-1.242927933,-0.939478423,-0.710584936,-0.516088958,-0.346840643,-0.193955111,-0.04517266,0.118314613,0.304877947,0.518157606,0.764153012,1.051270342,1.363253277,1.649378117,1.848830038,1.930056079,1.88754473,1.75942057,1.623887541,1.511664671,1.380713196,1.16908829,0.871261885,0.552804079,0.293523936,0.121535263,0.01672282,-0.026560123,-0.034878528,-0.042669104,-0.052297474,-0.069609091,-0.099368727,-0.14236755,-0.19331046,-0.252174091,-0.321722372,-0.398906347,-0.472585373,-0.531532493,-0.574863702,-0.608463098,-0.650494686,-0.728851228,-0.883192898,-1.119138695,-1.401146454,-1.678497095,-1.880765254,-1.945881163,-1.834753555,-1.572310445,-1.231593662,-0.878525579,-0.552434635,-0.260150534,-0.007377985,0.208670287,0.395095205,0.556440914,0.710543159,0.871262913,1.047157473,1.22238813,1.361158177,1.430688255,1.418885218,1.32851779,1.175374182,0.99201053,0.804974279,0.631887177,0.516344385,0.475293579,0.5155217,0.660530911,0.861556952,1.005060237,0.992076631,0.814689677,0.55170431,0.307416711,0.140654869,0.039801814,0,0,-0.046221463,-0.160773276,-0.349416554,-0.62475784,-0.915740634,-1.100105893,-1.081903533,-0.87208809,-0.579559619,-0.328153281,-0.179311517,-0.104634592,-0.08440607,-0.086644206,-0.068495658,-0.042591309,-0.015180805,0.009954584,0.030102057,0.043801106,0.045957821,0.029614869,0.042541755,0.119607165,0.283146173,0.564163713,0.896779143,1.140347943,1.173273444,0.98803077,0.736451475,0.580296733,0.606622014,0.811597981,1.124191541,1.410085742,1.524032252,1.48489159,1.391849356,1.301311227,1.185883384,0.977245326,0.700089414,0.420879008,0.176673044,-0.006824768,-0.135529143,-0.215320004,-0.274526677,-0.333535239,-0.3915028,-0.45211518,-0.513990038,-0.611620804,-0.766508943,-0.973428352,-1.227788158,-1.466629286,-1.580962943,-1.483625985,-1.187352137,-0.80119977,-0.450886957,-0.210076305,-0.068309246,-0.007703573,0,0,0,0,0.005135714,0.061802599,0.194098926,0.410347917,0.716311754,1.032286717,1.227805382,1.204803204,0.974817171,0.649903654,0.356723864,0.159402328,0.043653598,0,0,0,0,0,0,0,0,0,-0.002567859,-0.014210224,-0.072731273,-0.204644375,-0.41644787,-0.705120635,-1.000703623,-1.187551557,-1.176068398,-0.970365804,-0.666175798,-0.379301473,-0.177431956,-0.057352347,-0.006419643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.797826719,-1.385576767,-2.114846855,-2.769661817,-3.119786542,-3.009848469,-2.520004171,-1.914275706,-1.371391895,-0.930583867,-0.62860917,-0.44885725,-0.30973558,-0.192339283,-0.077806782,0.044196095,0.187372906,0.371822825,0.619814717,0.939986624,1.31298799,1.684800471,1.997939803,2.204181355,2.255605361,2.167881474,2.017836687,1.846665143,1.652557305,1.428841212,1.175793852,0.910740933,0.654158937,0.412388375,0.209452805,0.082529691,0.010818548,-0.05293963,-0.121038643,-0.198718937,-0.27611377,-0.343367638,-0.417177665,-0.510915873,-0.629266101,-0.755199994,-0.873495111,-0.979068859,-1.063607937,-1.134946234,-1.197667461,-1.257646333,-1.329102288,-1.426556741,-1.553434516,-1.677136832,-1.738114424,-1.685137269,-1.511064282,-1.251849563,-0.950633534,-0.650563721,-0.386396799,-0.170545583,0.010781477,0.178571775,0.349224682,0.54358448,0.770519566,1.019759003,1.257445548,1.444512601,1.550927441,1.567794524,1.510784557,1.393704354,1.245208738,1.123707527,1.046300679,1.020660523,1.060195319,1.093071565,1.026760995,0.795167956,0.394233145,-0.056479134,-0.392383026,-0.52521998,-0.492833742,-0.382935859,-0.295409542,-0.283419313,-0.301887327,-0.325238403,-0.339996313,-0.321711942,-0.282760121,-0.231310941,-0.170071847,-0.115446891,-0.085589581,-0.089879008,-0.121981996,-0.166440583,-0.204831291,-0.224165892,-0.222826159,-0.192929542,-0.130580886,-0.044626308,0.048522675,0.133238295,0.199519473,0.238342279,0.249265793,0.230248667,0.181645798,0.108956379,0.026540694,-0.045178573,-0.047464893,0.050417933,0.259497133,0.585949305,0.99651599,1.405498998,1.719539366,1.959896032,2.180437801,2.350072778,2.356394504,2.103925414,1.662524738,1.1774612,0.753098023,0.434098988,0.224769066,0.110460788,0.031273809,-0.04659305,-0.133904428,-0.229029407,-0.324501839,-0.407446993,-0.468745252,-0.510247712,-0.538260001,-0.562273879,-0.625084991,-0.755544456,-0.950065639,-1.199115154,-1.437833339,-1.555180871,-1.469942673,-1.18839269,-0.8092579,-0.461196994,-0.21841278,-0.073908444,-0.010014645,0,0,0,0,0,0,0,0,0.048532525,0.171508168,0.376415558,0.678255739,1.003972513,1.221343248,1.221343248,1.003972513,0.678255739,0.376415558,0.171508168,0.048532525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.040828957,-0.151988229,-0.343890588,-0.630344616,-0.952271455,-1.186839969,-1.221343248,-1.038475792,-0.729956792,-0.424326681,-0.204033138,-0.068052464,-0.007703573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.843970902,-1.466692276,-2.23697095,-2.927003193,-3.289145812,-3.155381512,-2.618128063,-1.962865074,-1.38512221,-0.93032764,-0.627140244,-0.449158845,-0.307808385,-0.182659913,-0.054071789,0.083039099,0.232729742,0.408520563,0.607618717,0.843503322,1.118998955,1.403179981,1.659763846,1.855918911,1.965689705,1.943403816,1.794542042,1.573049968,1.370308338,1.285246978,1.285681448,1.283250925,1.224157765,1.083603715,0.872091609,0.621698546,0.389154717,0.204705118,0.089277515,0.031085135,-0.016669848,-0.068537064,-0.140390993,-0.230773216,-0.316015213,-0.384508126,-0.437531255,-0.488140332,-0.548560763,-0.62332955,-0.713601073,-0.803912152,-0.873609703,-0.925669672,-0.997525444,-1.129488508,-1.329587601,-1.575737003,-1.81314808,-1.982076114,-2.039835063,-1.965483904,-1.773066693,-1.49892818,-1.18880828,-0.882018202,-0.605734403,-0.365052216,-0.148093822,0.048687651,0.230406808,0.407422032,0.57802562,0.738820791,0.883818873,1.007607082,1.118840905,1.223076097,1.315984519,1.377479727,1.37747139,1.308849432,1.195208051,1.080256435,0.978017459,0.871703026,0.761608295,0.633217167,0.495806293,0.362385686,0.221864283,0.075002982,-0.068706639,-0.18003845,-0.235279832,-0.232803035,-0.204349447,-0.19975927,-0.230460911,-0.289745918,-0.352553908,-0.387290465,-0.393426288,-0.374139576,-0.328293032,-0.256753898,-0.16615058,-0.06237954,0.041179439,0.134000578,0.209645955,0.261678177,0.296341605,0.323291416,0.345945943,0.355138264,0.337278482,0.277815557,0.177751371,0.059980726,-0.00239805,0.045410486,0.232597738,0.615589909,1.123729702,1.597395836,1.942070271,2.103629778,2.103680117,2.018990155,1.893042481,1.720784217,1.506497483,1.249511931,0.93701804,0.644562893,0.414789918,0.216743746,0.059895638,-0.063767295,-0.180370007,-0.284506823,-0.370113949,-0.427224584,-0.460732027,-0.494571847,-0.549735617,-0.664107191,-0.84097725,-1.057740421,-1.300238966,-1.50895185,-1.587795646,-1.464597359,-1.159280282,-0.776555236,-0.435508042,-0.202285729,-0.065741391,-0.007703573,0,0,0,0.006419643,0.022686256,0.089592203,0.230371183,0.441501144,0.717794783,0.984917022,1.134431316,1.091347105,0.873154153,0.578927771,0.315120253,0.140654854,0.039801809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002567859,-0.032011234,-0.122708079,-0.283969072,-0.537446396,-0.829080635,-1.059746018,-1.128680765,-1.007901267,-0.759633658,-0.486178539,-0.266254231,-0.103972308,-0.014210219,0.022253538,0.047911123,0.051701058,0.034503279,0,-0.034503279,-0.051701058,-0.047911123,-0.03252497,-0.019519934,-0.007703573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.841568803,-1.451343654,-2.19238588,-2.84803847,-3.199977287,-3.106997171,-2.65463566,-2.088847849,-1.561167353,-1.108319643,-0.795612301,-0.611129675,-0.465717733,-0.344717277,-0.224063493,-0.095307699,0.045559521,0.208006572,0.404672273,0.650684058,0.963950719,1.350457143,1.773338626,2.153450984,2.404197484,2.455284295,2.312046196,2.08390496,1.885508596,1.753867473,1.637624349,1.45179054,1.16491457,0.825555641,0.512882758,0.278735111,0.13790923,0.057353518,-0.020649582,-0.112083583,-0.216966003,-0.32963139,-0.434840253,-0.544527354,-0.663416637,-0.78941603,-0.905816842,-0.984866871,-1.034283697,-1.093755,-1.210691728,-1.397601623,-1.635428204,-1.886081126,-2.07636293,-2.167649342,-2.133697207,-1.971087492,-1.732208706,-1.465187149,-1.197079204,-0.927206523,-0.649352046,-0.365954276,-0.093137203,0.145776119,0.361176592,0.556188156,0.729242907,0.898741557,1.071387827,1.246035896,1.408902704,1.541010851,1.62308461,1.642412977,1.598437876,1.499260562,1.36372571,1.206357066,1.02215226,0.813219549,0.597518077,0.405874456,0.275577528,0.216684693,0.202199719,0.184763483,0.128235273,0.030393786,-0.09056313,-0.201646135,-0.277579371,-0.305681061,-0.289192512,-0.262855084,-0.257754608,-0.292286296,-0.369087952,-0.468632127,-0.566196088,-0.631313979,-0.64348259,-0.59613351,-0.494647131,-0.356559963,-0.193460468,-0.023364104,0.141851964,0.30133522,0.444860668,0.560113156,0.632056752,0.652687235,0.61984066,0.529680627,0.398341364,0.248366071,0.109139196,0.053908061,0.162656876,0.474422571,1.000624754,1.657463687,2.253679541,2.568729383,2.522390355,2.242966055,1.925246636,1.668125098,1.415125453,1.120038871,0.813492134,0.525900125,0.287245973,0.102388999,-0.022996947,-0.106297794,-0.184794229,-0.260905423,-0.341404577,-0.431932765,-0.541561674,-0.697275412,-0.902577038,-1.146932466,-1.423909187,-1.671002212,-1.773056145,-1.643706961,-1.305873937,-0.876861348,-0.492400077,-0.228423432,-0.074130431,-0.008987503,0,0,0,0,0,0,0,0.001283925,0.054610487,0.186910939,0.406308513,0.726347764,1.068155312,1.292426725,1.286676189,1.053787954,0.709745775,0.392902528,0.178236806,0.050073247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003851789,-0.016179615,-0.074898785,-0.209776589,-0.426154034,-0.72217051,-1.03083962,-1.228501605,-1.221556826,-1.008514663,-0.68193447,-0.374271321,-0.170564789,-0.067710782,-0.037740231,-0.043084211,-0.03992593,-0.027104138,-0.016266613,-0.006419643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.983865025,-1.694217316,-2.556677504,-3.303744904,-3.654051977,-3.437712699,-2.790678392,-2.057916129,-1.453568044,-1.008060519,-0.736328613,-0.593662162,-0.474481089,-0.355027609,-0.22020188,-0.070854278,0.101752761,0.324818982,0.619241229,0.997469656,1.46213688,1.970470959,2.458932315,2.8116252,2.927078818,2.816306891,2.552407446,2.22156601,1.882933112,1.562926517,1.255112444,0.952998674,0.671119262,0.424412818,0.253194664,0.153993261,0.080639827,0.012659286,-0.070655388,-0.176881585,-0.291401125,-0.400621446,-0.503572092,-0.609191549,-0.738653421,-0.893474567,-1.073256439,-1.281156029,-1.523080134,-1.812771496,-2.133880844,-2.423629665,-2.597520711,-2.608727893,-2.458324282,-2.187671064,-1.856978277,-1.500452248,-1.150365287,-0.830423857,-0.539556892,-0.278563717,-0.043623316,0.176525215,0.392120291,0.598651525,0.788580718,0.957232485,1.108222423,1.257270748,1.409168419,1.551763308,1.661408876,1.716941255,1.707881671,1.635567252,1.513352049,1.354638503,1.163443204,0.942670012,0.702602112,0.474525994,0.291743697,0.175610047,0.124864112,0.112176443,0.092351777,0.035240974,-0.04655142,-0.120773799,-0.165840047,-0.178174254,-0.171811301,-0.166504581,-0.178795722,-0.225780192,-0.315089543,-0.432366303,-0.560072804,-0.678533667,-0.754830561,-0.774609094,-0.746208595,-0.681174198,-0.57967008,-0.439312736,-0.262534889,-0.070704107,0.108118913,0.258154808,0.371091527,0.44785954,0.499702014,0.538361697,0.56348172,0.568267104,0.552356983,0.521385339,0.476250454,0.405822248,0.30163878,0.224754969,0.281928742,0.543342243,1.043620378,1.70177056,2.320179482,2.661549239,2.630750914,2.367278049,2.056709505,1.783625882,1.488589531,1.125736684,0.745224406,0.390833595,0.096205272,-0.131171134,-0.280299291,-0.363079474,-0.416994095,-0.457250899,-0.507931684,-0.621310442,-0.82303457,-1.092453866,-1.396617119,-1.648232609,-1.737057018,-1.593886686,-1.25094893,-0.830590799,-0.460559926,-0.211360235,-0.068309246,-0.007703573,0,0,0,0,0,0,0,0,0,0,0,0,0.003851784,0.058549274,0.188678093,0.402362723,0.707694907,1.026536167,1.227805382,1.21055375,0.983434019,0.657888842,0.362144697,0.162655654,0.044937528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00128393,-0.009672974,-0.028107099,-0.095009563,-0.235049284,-0.445484602,-0.721740628,-0.997819369,-1.167433614,-1.147983214,-0.943855698,-0.646028325,-0.365693211,-0.17141266,-0.055382951,-0.005135714,-3.50E-09,0.042369659,0.149729334,0.32861673,0.592127995,0.876483914,1.066252032,1.066252048,0.876483954,0.592128041,0.328616765,0.14972936,0.042369669,0,0,0,-0.03723395,-0.136716062,-0.306933445,-0.560187279,-0.842016565,-1.04324985,-1.066252032,-0.899486112,-0.626595379,-0.360557492,-0.17141266,-0.055382951,-0.005135714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.063018544,-1.825329214,-2.741868851,-3.517678035,-3.857238004,-3.582320351,-2.855580846,-2.076562875,-1.472564966,-1.050752954,-0.807216392,-0.685749839,-0.572240146,-0.448363182,-0.294328124,-0.101042946,0.118991671,0.35455515,0.606434028,0.873905425,1.175795538,1.534379432,1.942570461,2.376505348,2.745738562,2.940660475,2.935359851,2.751289158,2.438389527,2.062603458,1.674260141,1.299945963,0.953933018,0.65047901,0.394366122,0.211553405,0.095679893,-0.006473567,-0.104348301,-0.183787631,-0.234763309,-0.237311036,-0.223380639,-0.240245135,-0.336844592,-0.569525849,-0.925362495,-1.324876055,-1.663051589,-1.891005135,-2.05427747,-2.217200352,-2.410638558,-2.602324155,-2.737177707,-2.743534962,-2.572879798,-2.269962818,-1.903128718,-1.524736965,-1.148278952,-0.763143822,-0.375064692,0.004513639,0.360443333,0.663427637,0.893939157,1.056493319,1.175295287,1.270566944,1.357649159,1.447844313,1.543849467,1.63810378,1.713039427,1.748902241,1.731397545,1.657097585,1.531616115,1.358487322,1.14398349,0.894183848,0.62688388,0.3839936,0.207382746,0.102646932,0.057455047,0.041089747,0.014831713,-0.029598679,-0.087706194,-0.146594226,-0.196546617,-0.245014314,-0.313036215,-0.416443047,-0.553076516,-0.719089998,-0.884434923,-1.010168688,-1.076629031,-1.06156182,-0.96192253,-0.788921152,-0.561922883,-0.30930164,-0.055558378,0.181643328,0.390717221,0.562723149,0.692440921,0.776710006,0.817063708,0.822996455,0.803844365,0.766535513,0.712124665,0.631791582,0.520169523,0.379601499,0.225264204,0.131970698,0.158797331,0.333771985,0.741788666,1.324835749,1.937710561,2.495763386,2.890589168,3.00546848,2.764239807,2.209905596,1.494224569,0.833869447,0.345272195,-0.015433252,-0.243741181,-0.385414133,-0.530165421,-0.723521819,-0.981189725,-1.277623746,-1.575140597,-1.776600131,-1.78114743,-1.552361715,-1.157629379,-0.728664785,-0.379531231,-0.161455768,-0.044321652,-0.000770356,0,0,0,0,0,0,0,0,0,-0.000770361,0.04041766,0.146476839,0.323825616,0.586957889,0.873033582,1.066252032,1.069702379,0.881654061,0.596919155,0.377320363,0.320003702,0.422879731,0.694940433,1.047887941,1.303158454,1.337661748,1.134092313,0.794552655,0.46017583,0.218826562,0.064148487,-0.017446606,-0.055909461,-0.104109044,-0.165940021,-0.23311313,-0.295789131,-0.346686403,-0.386078489,-0.417271437,-0.438690896,-0.44761574,-0.446042235,-0.434746125,-0.419032948,-0.402996104,-0.392598061,-0.436504418,-0.552120639,-0.729323804,-0.964992453,-1.197725943,-1.323447515,-1.258382163,-1.01300298,-0.637884553,-0.228456251,0.158180125,0.556426858,0.910859716,1.124411236,1.134762241,0.939802493,0.638799278,0.356298816,0.163752397,0.046991813,0,0,0,0,0,0,0,0,-0.042369669,-0.149729365,-0.330927848,-0.600295109,-0.894408524,-1.098549964,-1.114060267,-0.934643123,-0.650287189,-0.376424929,-0.182027209,-0.060294192,-0.008167042,-0.002311067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.737036569,-1.320323067,-2.068302733,-2.799168231,-3.292237757,-3.347108474,-2.995624245,-2.481388802,-1.995736432,-1.606012546,-1.339484334,-1.165939126,-1.010434596,-0.86474822,-0.714815962,-0.543207514,-0.345550958,-0.106444008,0.197241205,0.562431165,0.960569565,1.367748347,1.771050019,2.167957797,2.574102852,2.929100784,3.132244992,3.158251735,2.99664251,2.671422167,2.254546499,1.810802635,1.378538513,0.98147078,0.638435555,0.35489698,0.166133055,0.067158237,0.005359712,-0.032393154,-0.068160017,0.082379979,0.307456359,0.179752323,0,0,0,-0.764842125,-2.446431349,-3.494416733,-3.499523452,-3.194821431,-2.965171242,-2.742528206,-2.577361031,-2.541746331,-2.433061686,-2.287922946,-2.121596028,-1.925435361,-1.677413609,-1.358000252,-0.975343111,-0.564612255,-0.153385864,0.241901162,0.607822063,0.932374974,1.189252539,1.345343085,1.405861317,1.400704207,1.358880718,1.317435681,1.298142374,1.315333389,1.377757497,1.456432838,1.52777464,1.589806483,1.640738275,1.645911524,1.553787479,1.361458519,1.105965423,0.839136492,0.588374943,0.371267937,0.21218452,0.106899048,0.044984348,0.003119406,-0.044886492,-0.100957017,-0.169579541,-0.250626606,-0.343308045,-0.458670948,-0.607958763,-0.780077633,-0.953053392,-1.100952867,-1.192174792,-1.205695868,-1.128590452,-0.969221126,-0.757672263,-0.524057299,-0.290007075,-0.067145673,0.142126179,0.332798695,0.488779819,0.610127844,0.708923766,0.791302772,0.860867096,0.905218435,0.913125033,0.884993055,0.828643965,0.803881157,0.836596507,0.937599575,1.174715683,1.508482718,1.829213776,2.049724819,2.098923075,1.948465616,1.662636152,1.335958652,1.059018774,0.967825497,1.038401175,1.081314161,0.988768352,0.727953823,0.350530904,-0.021297463,-0.370296944,-0.72614041,-1.090281444,-1.477931977,-1.823228256,-1.971706144,-1.823641672,-1.420505552,-0.921876019,-0.494871695,-0.216913392,-0.058547175,0,0,0,0,0,0,0,0,0,-0.002311077,-0.008167068,-0.018694935,0.006579017,0.09322387,0.253716672,0.507266738,0.793353238,0.99518137,1.061537598,1.019285933,0.978203795,1.072016054,1.298636747,1.51016402,1.566060897,1.41042942,1.083680507,0.718140075,0.410141626,0.173768448,0.020529266,-0.062395608,-0.117911231,-0.159916396,-0.203039125,-0.250836431,-0.30260521,-0.353988019,-0.399106673,-0.43221411,-0.447111405,-0.444662766,-0.433982242,-0.416604157,-0.38981781,-0.35649103,-0.323561836,-0.296768272,-0.332848764,-0.462819142,-0.689542224,-1.017775561,-1.353156869,-1.545666991,-1.445626161,-1.045189055,-0.468075472,0.149151701,0.666901794,0.992940601,1.046865631,0.860547859,0.581362057,0.3226419,0.147006995,0.041599308,0,0,0,0,0,0,0,0,0,0,0,-0.041599308,-0.147006995,-0.3226419,-0.581362057,-0.860547859,-1.046865631,-1.046865631,-0.860547859,-0.581362052,-0.322641905,-0.147007,-0.041599308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
